,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Chris Olave C. Olave(WR, NO)",167.13,"140.03 - 194.23",#70,#12,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,88.53,141.32,1271.48,6.88
"David Montgomery D. Montgomery(RB, DET)",166.85,"139.87 - 193.83",#71,#26,"0.00 / 0.00",0.00,0.00,0.00,212.56,882.65,7.75,28.64,39.08,246.85,1.60
"Deebo Samuel D. Samuel(WR, SF)",165.22,"138.28 - 192.16",#72,#13,"0.00 / 0.00",0.00,0.00,0.00,37.61,209.45,2.47,77.94,130.21,982.28,5.77
"Calvin Ridley C. Ridley(WR, JAC)",164.00,"137.18 - 190.82",#73,#14,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,94.49,148.95,1174.72,7.76
"Tee Higgins T. Higgins(WR, CIN)",163.15,"136.4 - 189.9",#74,#15,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,93.91,145.93,1165.66,7.87
"Javonte Williams J. Williams(RB, DEN)",160.86,"134.29 - 187.43",#75,#27,"0.00 / 0.00",0.00,0.00,0.00,219.47,974.80,6.31,27.54,36.87,189.54,1.52
"Mike Williams M. Williams(WR, LAC)",158.94,"132.54 - 185.34",#76,#16,"0.00 / 0.00",0.00,0.00,0.00,4.28,23.70,0.17,75.99,123.06,1061.81,8.22
"Amari Cooper A. Cooper(WR, CLE)",156.19,"130.03 - 182.35",#77,#17,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,80.93,124.33,1118.86,7.42
"D.K. Metcalf D. Metcalf(WR, SEA)",156.18,"130.02 - 182.34",#78,#18,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,91.90,145.52,1070.18,8.41
"Dalvin Cook D. Cook(RB, NYJ)",155.21,"129.15 - 181.27",#79,#28,"0.00 / 0.00",0.00,0.00,0.00,196.33,900.13,5.51,35.71,47.84,237.22,1.75
"Mike Evans M. Evans(WR, TB)",153.28,"127.36 - 179.2",#80,#19,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,79.94,142.64,1100.50,7.19
"Jerry Jeudy J. Jeudy(WR, DEN)",152.45,"126.61 - 178.29",#81,#20,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,84.26,132.69,1123.69,6.88
"Christian Kirk C. Kirk(WR, JAC)",152.07,"126.27 - 177.87",#82,#21,"0.00 / 0.00",0.00,0.00,0.00,4.49,25.02,0.19,86.25,131.07,1102.70,6.36
